# This is a sample test plan.
# Every line specifies a command to generate a test case.
# The first column specifies a group name.
# The second column specifies a command to generate the test case, it could be
# either a `copy` command or a generator with its respective arguments.
# A `copy` command expects a path to a file relatively to the task root.
# A generator could be a source file in Java, C++ or Python, which is compiled
# and executed with the specified arguments.
# Additionally, an argument which is different for every test case, is passed
# at the beginning. Arguments should be used to generate a uniquely random seed
# inside the generator.
# To generate test cases using test plan use `ocimatic input`


[Subtask 1 - validators/st1.cpp]
  quijote-a ; quijote/paragraphs.py extract cripto/attic/quijote/original.txt -c65 -p42
  quijote-a ; quijote/paragraphs.py extract cripto/attic/quijote/original.txt -c63 -p13
  quijote-a ; quijote/paragraphs.py extract cripto/attic/quijote/original.txt -c66 -p5
  quijote-a ; quijote/paragraphs.py extract cripto/attic/quijote/original.txt -c55 -p33
  quijote-a ; quijote/paragraphs.py extract cripto/attic/quijote/original.txt -c18 -p26
  quijote-a ; quijote/paragraphs.py extract cripto/attic/quijote/original.txt -c116 -p12
  quijote-a ; quijote/paragraphs.py extract cripto/attic/quijote/original.txt -c114 -p28
  quijote-a ; quijote/paragraphs.py extract cripto/attic/quijote/original.txt -c78 -p13
  quijote-a ; quijote/paragraphs.py extract cripto/attic/quijote/original.txt -c14 -p13
  quijote-a ; quijote/paragraphs.py extract cripto/attic/quijote/original.txt -c63 -p3
  quijote-a ; quijote/paragraphs.py extract cripto/attic/quijote/original.txt -c84 -p20
  quijote-a ; quijote/paragraphs.py extract cripto/attic/quijote/original.txt -c106 -p39
  quijote-a ; quijote/paragraphs.py extract cripto/attic/quijote/original.txt -c82 -p8
  quijote-e ; quijote/paragraphs.py extract cripto/attic/quijote/original.txt -c76 -p26
  quijote-e ; quijote/paragraphs.py extract cripto/attic/quijote/original.txt -c111 -p54
  quijote-e ; quijote/paragraphs.py extract cripto/attic/quijote/original.txt -c78 -p52
  quijote-e ; quijote/paragraphs.py extract cripto/attic/quijote/original.txt -c29 -p8
  quijote-e ; quijote/paragraphs.py extract cripto/attic/quijote/original.txt -c26 -p15
  quijote-e ; quijote/paragraphs.py extract cripto/attic/quijote/original.txt -c108 -p25
  quijote-e ; quijote/paragraphs.py extract cripto/attic/quijote/original.txt -c65 -p10
  quijote-e ; quijote/paragraphs.py extract cripto/attic/quijote/original.txt -c112 -p70
  quijote-e ; quijote/paragraphs.py extract cripto/attic/quijote/original.txt -c4 -p20
  quijote-e ; quijote/paragraphs.py extract cripto/attic/quijote/original.txt -c54 -p11
  quijote-e ; quijote/paragraphs.py extract cripto/attic/quijote/original.txt -c28 -p10
  quijote-e ; quijote/paragraphs.py extract cripto/attic/quijote/original.txt -c78 -p47
  quijote-e ; quijote/paragraphs.py extract cripto/attic/quijote/original.txt -c76 -p7
  quijote-o ; quijote/paragraphs.py extract cripto/attic/quijote/original.txt -c121 -p23
  quijote-o ; quijote/paragraphs.py extract cripto/attic/quijote/original.txt -c64 -p57
  quijote-o ; quijote/paragraphs.py extract cripto/attic/quijote/original.txt -c121 -p12
  quijote-s ; quijote/paragraphs.py extract cripto/attic/quijote/original.txt -c121 -p11
